sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-10-09;12,12;12,16;12,18;12,20;12,02;12,10;12,079;19609;236848,04;281;
2019-10-08;12,10;12,14;12,20;12,20;12,04;12,14;12,139;6061;73574,18;137;
2019-10-07;12,20;12,22;12,30;12,32;12,02;12,20;12,141;23775;288644,54;315;
2019-10-04;12,20;12,26;12,26;12,32;12,20;12,20;12,226;9208;112575,48;165;
2019-10-03;12,22;12,24;12,50;12,50;12,20;12,20;12,31;14701;180975,72;213;
2019-10-02;12,24;12,28;12,48;12,48;12,22;12,22;12,291;13614;167325,7;268;
2019-10-01;12,36;12,42;12,42;12,48;12,26;12,36;12,389;14054;174115,84;209;
2019-09-30;12,42;12,44;12,50;12,50;12,38;12,42;12,426;9522;118315,24;184;
2019-09-27;12,44;12,50;12,46;12,54;12,42;12,50;12,476;9274;115716,61;140;
2019-09-26;12,44;12,46;12,46;12,50;12,32;12,46;12,433;9489;117980,24;148;
2019-09-25;12,32;12,38;12,50;12,50;12,30;12,34;12,381;10983;135982,92;139;
2019-09-24;12,44;12,50;12,56;12,66;12,42;12,44;12,498;9706;121302,28;124;
2019-09-23;12,56;12,58;12,62;12,68;12,44;12,56;12,557;14611;183469,34;243;
2019-09-20;12,48;12,52;12,52;12,62;12,46;12,50;12,539;18606;233296,82;217;
2019-09-19;12,48;12,56;12,50;12,62;12,30;12,52;12,461;42489;529450,84;368;
2019-09-18;12,40;12,46;12,34;12,72;12,30;12,46;12,522;36359;455279,28;498;
2019-09-17;12,28;12,34;12,52;12,58;12,18;12,28;12,364;24777;306335;339;
2019-09-16;12,46;12,52;12,52;12,58;12,44;12,50;12,496;25108;313740,96;449;
2019-09-13;12,48;12,50;12,54;12,76;12,46;12,48;12,563;61908;777748,58;564;
2019-09-12;12,26;12,28;12,28;12,30;12,16;12,30;12,244;15298;187302,72;215;
2019-09-11;12,16;12,26;12,30;12,30;12,14;12,16;12,209;14271;174238,78;219;
2019-09-10;12,20;12,22;12,24;12,30;12,20;12,24;12,234;16651;203707,58;248;
2019-09-09;12,20;12,26;12,50;12,50;12,20;12,22;12,308;15336;188750,28;202;
2019-09-06;12,34;12,38;12,34;12,44;12,30;12,34;12,359;16199;200200,92;211;
2019-09-05;12,54;12,56;12,58;12,64;12,48;12,56;12,55;27472;344773,9;321;
2019-09-04;12,42;12,46;12,40;12,72;12,40;12,42;12,513;23405;292855,76;313;
2019-09-03;12,36;12,40;12,42;12,48;12,24;12,36;12,358;29621;366047,46;249;
2019-09-02;12,34;12,36;12,10;12,48;12,10;12,34;12,359;32347;399790,68;340;
2019-08-30;12,14;12,16;11,98;12,20;11,98;12,12;12,10;1534396;18504520,96;215;
2019-08-29;11,94;11,98;11,82;11,98;11,82;11,94;11,909;14048;167293,92;187;
2019-08-28;11,84;11,92;11,84;12,00;11,76;11,84;11,835;19080;225808,96;399;
2019-08-27;11,84;11,88;11,88;12,00;11,78;11,82;11,849;21512;254876,38;300;
2019-08-26;11,86;11,88;11,96;12,04;11,80;11,86;11,881;18662;221720,06;220;
2019-08-23;11,96;12,00;12,04;12,18;11,94;11,96;12,011;21462;257775,62;315;
2019-08-22;12,02;12,06;12,20;12,20;11,98;12,02;12,069;24568;296486,8;263;
2019-08-21;12,20;12,22;12,24;12,32;12,18;12,20;12,238;11012;134759,42;159;
2019-08-20;12,22;12,26;12,16;12,28;12,14;12,18;12,205;16315;199132,92;184;
2019-08-19;12,14;12,18;12,08;12,36;12,08;12,14;12,167;9959;121172,54;172;
2019-08-16;12,04;12,10;12,02;12,14;12,00;12,08;12,085;10171;122913,2;170;
2019-08-15;12,00;12,04;12,12;12,24;11,90;12,04;12,046;25594;308064,3;280;
2019-08-14;12,12;12,14;12,40;12,40;12,10;12,12;12,206;9053;110501,99;218;
2019-08-13;12,36;12,44;12,52;12,66;12,32;12,42;12,408;10941;135758,2;182;
2019-08-12;12,48;12,52;12,54;12,66;12,46;12,54;12,518;9808;122775,22;141;
2019-08-09;12,52;12,58;12,58;12,76;12,52;12,52;12,639;35380;447284,44;133;
2019-08-08;12,62;12,70;12,58;12,70;12,54;12,62;12,613;7233;91227,98;122;
2019-08-07;12,50;12,58;12,62;12,62;12,50;12,50;12,539;10898;136649,72;189;
2019-08-06;12,52;12,60;12,58;12,68;12,48;12,54;12,584;17683;222512,64;278;
2019-08-05;12,64;12,70;12,62;12,72;12,54;12,60;12,623;14825;187129,7;280;
2019-08-02;12,72;12,80;13,00;13,08;12,60;12,60;12,804;25634;328223,98;426;
2019-08-01;13,16;13,20;13,12;13,34;13,02;13,12;13,211;21219;280316,8;272;
2019-07-31;13,26;13,30;13,34;13,40;13,14;13,26;13,281;13967;185500,5;315;
2019-07-30;13,34;13,38;13,52;13,60;13,32;13,34;13,426;10904;146396,08;198;
2019-07-29;13,48;13,62;13,52;13,70;13,40;13,50;13,507;9489;128163,98;201;
2019-07-26;13,50;13,56;13,64;13,66;13,50;13,52;13,588;5614;76282,9;144;
2019-07-25;13,54;13,58;13,56;13,62;13,46;13,54;13,524;18876;255277,28;196;
2019-07-24;13,52;13,56;13,68;13,68;13,50;13,50;13,567;9431;127948,8;207;
2019-07-23;13,68;13,74;13,62;13,74;13,58;13,68;13,661;7373;100720,86;179;
2019-07-22;13,54;13,62;13,54;13,66;13,46;13,60;13,55;5627;76247,94;139;
2019-07-19;13,50;13,54;13,42;13,62;13,40;13,54;13,517;12644;170914,32;188;
2019-07-18;13,40;13,46;13,66;13,68;13,40;13,40;13,526;10893;147339,5;172;
2019-07-17;13,64;13,68;13,76;13,78;13,60;13,66;13,669;20020;273659,14;226;
2019-07-16;13,74;13,78;13,78;13,88;13,70;13,74;13,767;18533;255110,95;249;
2019-07-15;13,70;13,74;13,80;13,80;13,68;13,76;13,713;14173;194354,16;265;
2019-07-12;13,74;13,80;13,80;13,82;13,70;13,80;13,773;11501;158404,42;186;
2019-07-11;13,74;13,80;13,84;13,84;13,60;13,80;13,732;23385;321117,22;247;
2019-07-10;13,84;13,90;13,82;13,92;13,76;13,84;13,827;17141;237002,68;189;
2019-07-09;13,84;13,88;14,00;14,00;13,82;13,82;13,873;10328;143283,06;196;
2019-07-08;13,92;13,94;14,16;14,16;13,92;13,96;14,037;13829;194112,34;236;
2019-07-05;13,98;14,06;14,16;14,18;13,92;14,10;14,041;23745;333411,1;268;
2019-07-04;14,16;14,20;14,26;14,28;14,10;14,16;14,164;12532;177508,78;179;
2019-07-03;14,18;14,22;14,26;14,32;14,14;14,18;14,199;15279;216948,74;242;
2019-07-02;14,24;14,32;14,42;14,42;14,22;14,24;14,279;18402;262767,78;263;
2019-07-01;14,30;14,36;14,42;14,44;14,30;14,38;14,361;16205;232725,46;231;
2019-06-28;14,38;14,40;14,50;14,54;14,34;14,40;14,446;15202;219604,86;287;
2019-06-27;14,46;14,52;14,50;14,56;14,44;14,50;14,502;15086;218769,58;175;
2019-06-26;14,42;14,50;14,52;14,54;14,22;14,42;14,389;23109;332503,72;359;
2019-06-25;14,52;14,58;14,82;14,88;14,38;14,50;14,608;43789;639666,84;568;
2019-06-24;14,86;14,90;15,14;15,20;14,82;14,82;14,959;23034;344618,86;302;
2019-06-20;15,38;15,44;15,60;15,60;15,08;15,08;15,199;52478;797627,46;311;
2019-06-19;15,56;15,60;15,68;15,72;15,52;15,56;15,621;30775;480737,28;416;
2019-06-18;15,54;15,60;15,72;15,72;15,52;15,60;15,647;32108;502384,06;411;
2019-06-17;15,54;15,58;15,70;15,70;15,42;15,60;15,603;25464;397284,68;337;
2019-06-14;15,34;15,40;15,50;15,76;15,32;15,44;15,516;31677;491486,62;344;
2019-06-13;15,56;15,62;14,92;15,62;14,92;15,50;15,305;56450;863992,52;587;
2019-06-12;14,94;14,98;15,10;15,10;14,88;14,96;14,979;15980;239358,86;198;
2019-06-11;15,02;15,08;15,00;15,14;14,80;15,10;14,982;29456;441278,35;357;
2019-06-10;14,94;15,02;15,00;15,28;14,94;14,98;15,061;18022;271441,5;275;
2019-06-07;14,92;14,96;14,98;15,36;14,70;14,94;15,053;54979;827569,14;550;
2019-06-06;19,96;19,98;20,00;20,50;19,80;20,05;20,181;52267;1054689,26;581;
2019-06-05;20,05;20,15;20,25;20,30;20,00;20,00;20,143;23795;479287,75;383;
2019-06-04;20,00;20,10;19,96;20,35;19,58;20,00;20,024;38502;770894,38;450;
2019-06-03;19,60;19,66;19,40;19,76;19,30;19,76;19,421;37604;730285,9;541;
2019-05-31;19,40;19,48;19,40;19,50;19,14;19,40;19,348;36036;697228,2;545;
2019-05-29;19,18;19,22;19,32;19,34;19,14;19,16;19,209;42212;810855,46;422;
2019-05-28;19,26;19,30;19,20;19,30;19,16;19,30;19,242;22449;431953,86;323;
2019-05-27;19,18;19,24;19,22;19,30;19,14;19,18;19,191;10687;205095,32;168;
2019-05-24;19,24;19,26;19,60;19,60;19,14;19,22;19,243;32723;629678,36;548;
2019-05-23;19,18;19,26;19,48;19,48;19,12;19,14;19,20;15950;306261,34;273;
2019-05-22;19,16;19,20;19,30;19,30;19,12;19,14;19,176;20699;396932,64;279;
2019-05-21;19,24;19,26;19,52;19,54;19,12;19,24;19,244;23760;457241,68;315;
2019-05-20;19,30;19,44;19,60;19,64;19,24;19,44;19,452;33236;646503,42;398;
2019-05-17;19,70;19,84;19,26;19,90;19,02;19,72;19,592;43512;852477,34;431;
2019-05-16;20,20;20,25;19,60;20,30;19,54;20,25;19,866;22921;455346,19;259;
2019-05-15;19,48;19,54;19,50;19,64;19,42;19,54;19,486;9874;192402,32;154;
2019-05-14;19,38;19,40;19,16;19,60;19,16;19,40;19,429;11616;225690,4;166;
2019-05-13;19,18;19,56;19,72;19,72;19,10;19,16;19,336;18384;355480,64;236;
2019-05-10;19,52;19,56;19,74;19,84;19,52;19,52;19,661;17171;337599,42;174;
2019-05-09;19,60;19,70;19,98;19,98;19,42;19,72;19,623;21216;416319,42;231;
2019-05-08;19,50;19,58;20,30;20,30;19,50;19,50;19,966;27731;553675,14;215;
2019-05-07;20,25;20,30;20,35;20,40;20,25;20,30;20,357;11410;232292,85;125;
2019-05-06;20,15;20,20;20,30;20,40;20,15;20,20;20,237;22909;463614,1;199;
2019-05-03;20,45;20,50;20,25;20,50;20,25;20,45;20,468;28881;591130,6;263;
2019-05-02;20,20;20,30;20,30;20,35;20,15;20,20;20,24;8142;164797,25;114;
2019-04-30;20,25;20,35;20,45;20,60;20,25;20,25;20,442;16122;329571,45;173;
2019-04-29;20,35;20,40;20,35;20,45;20,25;20,35;20,33;10206;207491,4;153;
2019-04-26;20,25;20,35;20,30;20,55;20,15;20,35;20,29;15440;313270,9;176;
2019-04-25;20,40;20,50;20,50;20,50;20,15;20,35;20,422;13703;279848,3;156;
2019-04-24;20,25;20,35;20,45;20,50;20,10;20,25;20,292;16999;344977,4;226;
2019-04-23;20,30;20,45;20,25;20,45;20,10;20,45;20,271;19198;389210,84;157;
2019-04-18;20,00;20,05;20,05;20,20;19,92;20,00;20,046;15797;316659,74;196;
2019-04-17;19,98;20,05;20,10;20,10;19,92;19,98;20,00;12966;259324,95;139;
2019-04-16;19,94;20,05;20,10;20,10;19,92;19,94;19,995;12954;259022,07;256;
2019-04-15;19,96;20,00;20,00;20,10;19,94;19,96;19,977;10065;201069,83;157;
2019-04-12;20,00;20,05;20,10;20,10;19,92;20,00;19,994;13111;262135,61;177;
2019-04-11;19,90;19,98;19,94;20,10;19,90;19,90;19,995;25162;503160,62;299;
2019-04-10;19,94;19,98;20,00;20,10;19,94;19,94;20,011;11432;228765,41;154;
2019-04-09;19,96;20,05;20,35;20,35;19,96;19,96;20,206;28617;578234,56;211;
2019-04-08;20,00;20,10;20,15;20,45;20,00;20,00;20,192;45009;909088,8;218;
2019-04-05;20,15;20,20;19,90;20,15;19,90;20,15;20,067;13429;269476,68;175;
2019-04-04;19,92;19,98;20,00;20,15;19,86;19,92;20,002;16733;334699,33;197;
2019-04-03;19,86;19,94;19,80;20,15;19,78;19,94;19,952;14416;287622,17;194;
2019-04-02;19,80;19,84;19,64;20,00;19,60;19,80;19,857;63090;1252771,04;234;
2019-04-01;19,50;19,64;19,40;19,86;19,00;19,64;19,532;27694;540878,98;399;
2019-03-29;18,72;18,76;18,62;18,80;18,50;18,66;18,688;9565;178753,22;177;
2019-03-28;18,56;18,60;19,24;19,24;18,54;18,54;18,761;12103;227062,1;183;
2019-03-27;18,50;18,54;18,68;18,84;18,50;18,50;18,663;14409;268918,28;229;
2019-03-26;18,62;18,68;18,94;18,94;18,60;18,62;18,738;20147;377504,56;271;
2019-03-25;18,92;18,94;18,92;19,04;18,58;18,92;18,842;20795;392004,74;266;
2019-03-22;18,92;18,96;19,50;19,58;18,86;18,92;19,005;20482;389258,68;365;
2019-03-21;19,12;19,16;19,22;19,36;19,10;19,16;19,188;11874;227892,51;286;
2019-03-20;19,22;19,30;19,74;19,74;19,18;19,22;19,474;20393;397133,58;295;
2019-03-19;19,76;19,78;20,00;20,10;19,70;19,74;19,916;21800;434176,07;335;
2019-03-18;19,92;20,00;20,10;20,30;19,90;20,00;20,074;16025;321664,85;218;
2019-03-15;20,10;20,15;20,50;20,55;20,10;20,10;20,40;15618;318661,03;213;
2019-03-14;20,45;20,50;20,40;20,55;20,35;20,45;20,472;19451;398169,48;213;
2019-03-13;20,70;20,75;20,75;21,00;20,55;20,80;20,859;28046;585010,85;303;
2019-03-12;20,45;20,50;20,40;20,95;20,30;20,40;20,48;33328;682590,53;254;
2019-03-11;20,25;20,30;20,25;20,50;20,15;20,25;20,242;18817;380898;241;
2019-03-08;19,98;20,10;20,30;20,30;19,88;19,98;20,027;17500;350493,1;310;
2019-03-07;20,05;20,15;20,55;20,60;19,94;20,20;20,183;27154;548071,44;263;
2019-03-06;20,40;20,50;20,75;20,75;20,40;20,40;20,518;13248;271826,9;212;
2019-03-05;20,55;20,60;20,50;20,95;20,45;20,60;20,686;29154;602461,5;250;
2019-03-04;20,45;20,55;20,45;20,55;20,30;20,45;20,437;24755;505908,3;304;
2019-03-01;20,20;20,25;19,70;20,30;19,56;20,25;19,921;29973;597086,36;358;
2019-02-28;19,40;19,44;19,68;19,68;19,40;19,42;19,48;39856;776364,54;399;
2019-02-27;19,28;19,36;19,38;19,58;19,28;19,30;19,385;56669;1098532,62;575;
2019-02-26;19,28;19,32;19,20;19,40;19,18;19,28;19,311;18145;350394,88;217;
2019-02-25;19,18;19,20;19,18;19,30;19,14;19,18;19,192;19040;365408,44;206;
2019-02-22;19,04;19,10;19,04;19,20;19,02;19,02;19,143;16784;321280,36;213;
2019-02-21;19,10;19,14;19,32;19,36;19,04;19,04;19,175;39248;752590,6;233;
2019-02-20;19,22;19,24;19,30;19,30;19,20;19,24;19,244;15389;296144,96;199;
2019-02-19;19,18;19,24;19,22;19,28;19,18;19,24;19,232;23790;457521,92;217;
2019-02-18;19,18;19,20;19,20;19,34;19,16;19,18;19,203;27117;520737,66;261;
2019-02-15;19,16;19,20;19,26;19,26;19,10;19,18;19,191;20859;400295,76;217;
2019-02-14;19,12;19,20;19,10;19,36;19,06;19,10;19,195;19951;382951,18;221;
