sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-10-09;2,05;2,07;2,02;2,10;2,02;2,09;2,081;78116;162581,2;149;
2019-10-08;1,97;1,985;1,995;2,01;1,95;1,985;1,983;9074;17995,83;45;
2019-10-07;1,96;1,995;1,98;2,04;1,94;1,995;1,974;14789;29192,59;47;
2019-10-04;2,00;2,02;2,00;2,04;1,985;2,02;2,004;9924;19889,44;29;
2019-10-03;2,01;2,03;2,07;2,07;1,975;2,03;2,019;23322;47077,82;75;
2019-10-02;2,05;2,09;2,10;2,10;2,00;2,08;2,057;23728;48808,94;52;
2019-10-01;2,08;2,13;2,14;2,15;2,08;2,14;2,131;26557;56585,18;50;
2019-09-30;2,10;2,13;2,15;2,15;2,07;2,09;2,117;7134;15100,26;23;
2019-09-27;2,09;2,13;2,15;2,15;2,06;2,14;2,112;16324;34474,76;38;
2019-09-26;2,09;2,11;2,03;2,16;2,02;2,12;2,107;11004;23179,78;20;
2019-09-25;2,03;2,07;2,05;2,14;2,00;2,10;2,05;27969;57322,48;67;
2019-09-24;2,07;2,11;2,14;2,14;2,06;2,11;2,084;6516;13580,01;23;
2019-09-23;2,10;2,17;2,12;2,27;2,10;2,17;2,169;6068;13162,94;30;
2019-09-20;2,08;2,11;2,15;2,15;2,07;2,12;2,118;18479;39130,92;57;
2019-09-19;2,13;2,16;1,995;2,36;1,925;2,13;2,129;91573;194966,15;151;
2019-09-18;1,92;1,985;2,02;2,04;1,92;2,00;2,006;11484;23031,89;41;
2019-09-17;2,02;2,03;2,03;2,09;2,02;2,02;2,054;7282;14955,31;25;
2019-09-16;2,02;2,04;2,08;2,09;2,02;2,02;2,054;15781;32413,26;31;
2019-09-13;2,05;2,06;2,09;2,10;2,05;2,05;2,074;19622;40696,41;48;
2019-09-12;2,04;2,05;2,09;2,09;2,02;2,04;2,041;18403;37566,8;30;
2019-09-11;2,06;2,07;2,06;2,10;2,05;2,08;2,075;6679;13857,23;39;
2019-09-10;2,05;2,06;2,06;2,07;2,02;2,06;2,05;14174;29056,06;31;
2019-09-09;2,03;2,05;2,04;2,06;2,01;2,05;2,04;5559;11339,61;27;
2019-09-06;2,01;2,04;2,05;2,06;2,00;2,01;2,037;22305;45441,56;60;
2019-09-05;1,985;2,04;2,02;2,09;1,985;2,04;2,024;33201;67190,5;79;
2019-09-04;2,02;2,05;2,00;2,11;2,00;2,02;2,043;24593;50233,13;64;
2019-09-03;2,00;2,05;2,16;2,16;2,00;2,00;2,058;56923;117157,5;112;
2019-09-02;2,07;2,10;2,06;2,23;1,90;2,10;2,067;125078;258573,02;311;
2019-08-30;1,965;2,01;1,695;2,03;1,69;2,01;1,903;128245;244021,56;257;
2019-08-29;1,65;1,67;1,58;1,68;1,58;1,65;1,636;1643740;2583764,82;98;
2019-08-28;1,58;1,605;1,62;1,64;1,51;1,58;1,579;50031;79014,5;67;
2019-08-27;1,59;1,60;1,635;1,70;1,59;1,60;1,626;127385;207167,81;152;
2019-08-26;1,61;1,63;1,655;1,67;1,61;1,61;1,638;76747;125681,78;141;
2019-08-23;1,615;1,655;1,65;1,675;1,60;1,65;1,612;19656;31688,24;54;
2019-08-22;1,615;1,65;1,635;1,69;1,60;1,65;1,618;85378;138171,85;92;
2019-08-21;1,615;1,62;1,655;1,655;1,615;1,62;1,637;31205;51070,79;110;
2019-08-20;1,635;1,65;1,75;1,75;1,63;1,65;1,673;42309;70788,64;103;
2019-08-19;1,69;1,71;1,70;1,75;1,68;1,72;1,699;23947;40684,86;70;
2019-08-16;1,695;1,70;1,74;1,74;1,695;1,695;1,708;30263;51695,46;75;
2019-08-15;1,69;1,70;1,74;1,795;1,68;1,70;1,71;25292;43258,25;81;
2019-08-14;1,75;1,795;1,87;1,885;1,725;1,725;1,81;26363;47715,58;95;
2019-08-13;1,835;1,865;1,91;1,915;1,82;1,845;1,877;37885;71090,8;97;
2019-08-12;1,895;1,90;2,05;2,11;1,895;1,90;1,953;39959;78020,97;94;
2019-08-09;1,99;2,00;2,18;2,19;1,98;2,00;2,04;36138;73709,28;103;
2019-08-08;2,02;2,09;2,15;2,20;1,99;2,09;2,066;46938;96961,23;111;
2019-08-07;2,12;2,15;2,07;2,19;2,06;2,11;2,099;12292;25802,56;56;
